12,243,1,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,D13,,,SSR8,,,SSR4,,,Pi04,,,Pi70,,,SSR6,,,Pi63,,,G11,,,SSR3,,,SSR11,,,SSR2,,,Pi4B,,
H.95,H.Int,140,154,0,0,0,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,164,266,268,0,329,341,0,173,173,0,205,213,0
H.70,H.Int,136,140,158,260,266,0,284,294,0,166,168,170,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,329,341,0,173,173,0,205,213,0
H.72,H.Int,136,140,158,260,266,0,284,294,0,166,168,170,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,329,341,0,173,173,0,205,213,0
H.57,H.Int,136,140,160,260,266,0,284,294,0,166,168,170,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,329,341,0,173,173,0,205,213,0
H.68,H.Lemp,136,142,160,260,266,0,284,294,0,166,168,170,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,329,341,0,173,173,0,205,213,0
H.53,H.Int,136,140,156,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,329,341,0,173,173,0,205,213,0
H.13,H.Int,136,140,154,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,329,341,0,173,173,0,205,213,0
H.186,H.Int,136,140,150,260,266,0,284,294,0,166,166,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,331,341,0,173,173,0,205,205,0
H.193,H.Int,136,140,154,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,331,341,0,173,173,0,205,213,0
H.187,H.Int,136,140,150,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,331,341,0,173,173,0,205,213,0
H.168,H.Int,136,140,150,254,260,266,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,331,341,0,173,173,0,205,213,0
H.175,H.Int,136,140,150,260,264,266,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,331,341,0,173,173,0,205,213,0
H.159,H.Int,138,140,150,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,331,341,0,173,173,0,205,213,0
H.192,H.Int,136,140,150,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,331,341,0,173,173,0,205,213,0
G27,G.Sol,136,138,162,260,266,0,286,292,0,166,170,0,192,192,0,240,244,0,273,279,0,154,158,160,266,268,0,341,341,0,173,173,0,205,213,0
G64,G.Qtz,134,140,156,260,266,0,286,294,296,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
G56,G.Qtz,134,136,158,260,266,0,286,294,296,166,170,0,192,192,0,240,244,0,273,279,0,154,158,160,266,268,0,341,341,0,173,173,0,205,213,0
H.124,H.Int,136,158,160,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,160,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H.92,H.Int,140,152,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,160,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H.233,H.Int,136,144,152,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,160,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H.30,H.Int,136,142,158,260,266,0,284,294,0,166,170,0,189,189,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H.238,H.Int,136,140,152,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,279,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H.221,H.Int,140,140,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H.24,H.Int,136,140,152,260,266,0,284,294,296,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H.25,H.Int,138,140,152,260,266,0,284,294,296,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H.236,H.Int,134,144,150,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H.201,H.Int,136,146,150,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H.43,H.Int,136,144,152,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
G51,G.Htg,136,144,152,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H.157,H.Int,136,144,150,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H.153,H.Int,136,144,150,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H.154,H.Int,136,144,150,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H.204,H.Int,136,138,152,260,264,266,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H.182,H.Int,136,140,154,260,264,266,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H.202,H.Int,136,140,152,260,264,266,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H.165,H.Int,136,140,150,260,264,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H.199,H.Int,136,140,150,260,264,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H.195,H.Int,136,140,150,260,264,266,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H.196,H.Int,136,140,150,260,264,266,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H.206,H.Int,136,138,150,260,264,266,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H.213,H.Int,136,138,150,260,264,266,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H.17,H.Int,136,140,152,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,166,266,266,0,341,341,0,173,173,0,205,213,0
H.235,H.Int,136,140,152,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,158,0,266,266,0,341,341,0,173,173,0,205,213,0
H.223,H.Int,136,140,150,260,266,0,284,292,294,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H.11,H.Int,136,140,152,260,266,0,284,292,294,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H.107,H.Int,136,140,152,260,266,0,284,292,294,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H.117,H.Int,136,140,156,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H.227,H.Int,136,140,154,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H.191,H.Int,136,140,154,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H.177,H.Int,136,140,154,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H.174,H.Int,136,140,154,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H.164,H.Int,136,140,154,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H.169,H.Int,136,140,154,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
G59,G.Qtz,136,140,152,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H.198,H.Int,136,140,152,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H.171,H.Int,136,140,152,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H.148,H.Int,136,140,152,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H.83,H.Oco,136,140,152,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H.51,H.Int,136,140,152,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H.42,H.Int,136,140,152,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H.27,H.Int,136,140,152,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H.23,H.Int,136,140,152,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H.14,H.Int,136,140,152,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H.22,H.Int,136,140,152,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H.218,H.Int,136,140,150,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H.215,H.Int,136,140,150,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H.211,H.Int,136,140,150,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H.207,H.Int,136,140,150,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H.203,H.Int,136,140,150,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H.190,H.Int,136,140,150,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H.184,H.Int,136,140,150,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H.178,H.Int,136,140,150,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H.172,H.Int,136,140,150,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H.167,H.Int,136,140,150,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H.163,H.Int,136,140,150,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H.162,H.Int,136,140,150,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H.152,H.Int,136,140,150,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H.156,H.Int,136,140,150,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
25_14AN3_5_13A2180,13A2,136,138,154,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,164,266,270,0,341,341,0,173,173,0,205,213,0
H.66,H.Int,136,140,156,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,164,266,268,0,341,341,0,173,173,0,205,213,0
H.103,H.Int,138,140,152,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,164,266,268,0,341,341,0,173,173,0,205,213,0
2006_4132B_13A2_1,13A2,136,154,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H.32,H.Int,136,154,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,164,266,268,0,341,341,0,173,173,0,205,213,0
H.35,H.Int,136,154,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,164,266,268,0,341,341,0,173,173,0,205,213,0
H.112,H.FrMz,136,158,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,164,266,268,0,341,341,0,173,173,0,205,213,0
H.40,H.Int,136,162,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,164,266,268,0,341,341,0,173,173,0,205,213,0
H.39,H.Int,136,162,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,164,266,268,0,341,341,0,173,173,0,205,213,0
H.36,H.Int,136,162,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,164,266,268,0,341,341,0,173,173,0,205,213,0
H.38,H.Int,136,162,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,164,266,268,0,341,341,0,173,173,0,205,213,0
H.106,H.Int,136,144,156,260,266,0,284,294,298,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H.50,H.Int,136,140,154,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,152,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H.132,H.Int,136,140,152,260,266,0,284,294,0,166,170,0,192,192,0,234,240,244,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
G8,G.Qtz,136,140,154,260,266,0,284,294,0,166,170,0,192,192,0,234,240,244,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H.170,H.Int,136,140,154,260,266,0,284,294,0,166,170,0,192,192,0,234,240,244,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H.144,H.Int,136,140,154,260,266,0,284,294,0,166,170,0,192,192,0,234,240,244,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H.12,H.Int,140,154,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,164,266,268,0,341,341,0,173,173,0,205,213,0
H.49,H.Int,140,154,0,260,266,0,284,294,296,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
G15,G.Sm,140,154,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
G58,G.Qtz,140,154,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H.69,H.Int,136,142,160,260,266,0,284,294,0,166,168,170,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H.74,H.Int,136,140,0,260,266,0,284,294,0,166,168,170,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H.34,H.Int,136,146,158,260,266,0,284,294,296,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H.60,H.Int,136,140,158,260,266,0,284,294,296,166,168,170,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H.21,H.Int,136,140,158,260,266,0,284,294,296,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H.26,H.Int,136,140,158,260,266,0,284,294,296,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H.129,H.Int,136,140,158,260,266,0,284,294,298,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H.135,H.Int,136,142,158,260,266,0,284,294,298,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H.137,H.Int,140,156,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H.123,H.Int,140,142,158,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H.145,H.Int,140,142,158,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H.94,H.Oco,140,156,158,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H.81,H.Int,140,158,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H.47,H.Int,140,158,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H.41,H.Int,140,158,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H.46,H.Int,140,158,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H.105,H.Int,136,140,162,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H.1,H.Int,136,142,154,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
G23,G.Cht,136,140,154,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H.2,H.Int,136,140,154,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H.138,H.Int,136,140,154,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
CRA_W_011_13A2118,13A2,136,138,156,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H.139,H.Int,136,140,156,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H.136,H.Int,136,140,156,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H.133,H.Int,136,140,156,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H.130,H.Int,136,140,156,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H.127,H.Int,136,140,156,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H.119,H.Int,136,140,156,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H.101,H.Int,136,140,156,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H.100,H.Int,136,140,156,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
G7,G.Qtz,136,144,158,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H.166,H.Int,136,144,158,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H.48,H.Int,136,144,158,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H.62,H.Int,136,144,158,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
G40,G.Htg,136,140,158,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H.86,H.Int,136,140,158,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H.142,H.Int,136,140,158,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H.3,H.Int,136,140,158,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H.45,H.Int,136,140,158,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H.82,H.Int,136,142,158,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H.33,H.Int,136,142,158,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
